id,text_,rating
67,"I have a 2080ti, was upgrading from a triple 1080 monitor setup where i wanted to position this as the ""curve"" between the two.  Honestly the field of vision is so wide I have to physically turn my head to focus on the other two monitors.  I don't really even need them anymore but it all looks so cool together.<br /><br />As for performance I was able to get Gsync going and my games look/play great at full resolution with HDR and Vsync enabled.  I mostly play Warframe and I was in complete disbelief the whole time.  For the price I cannot believe the performance.  My desk looks like I have a $10,000 setup.  When people come over they gasp.<br /><br />My gripes are as follows:  In HDR mode, text looks crunchy.  I enable HDR mode in games but not in Windows. I don't know if this is a driver thing or what.  If anyone has a fix for this let me know.  And the controller is just totally whack and unpredictable. After you set it once you won't want to touch it again.  There are two additional buttons near the joystick that almost make it tolerable but it's no LG control scheme.<br /><br />I ended up buying a 3rd party VESA swivel stand which cleared the entire space under the monitor for my headphone amp. The monitor is heavy but not too much. I'm impressed it only took a small power block, usb 3, and a single DP cable to power it.  I thought I was going to have to connect multiple HDMI cables to it but nope!<br /><br />Overall it's the best monitor I've ever had, and completely puts my 60hz 4k LG OLED to shame for gaming.  The color isn't as rich but for the price this is a steal.  I'd buy two more but they'd be sticking off the sides of my desk.",4
68,I love everything about this monitor except that it does not have speakers,5
69,"I really think the picture quality is GREAT! But adjusting ANYTHING such volume, brightness is a NIGHTMARE NIGHTMARE AND A NIGHTMARE. The “wheel” toggles up and down fairly easy but trying to use the wheel for “enter/select” just randomly goes up or down or another menu.  It really is a HUGE disappointment.",2
70,"3 stars for the product I actually received. I get that these are ""renewed/recertified"", but I received one that had a line of dead pixels. I really question the standards ""Official Acer Recertified"" has. Fortunately I can give customer support 5 stars, because they were very quick about repairing it under warranty. But I only had it for a few days, and then I didn't get the repaired version back for a little over a month. So far it seems great though, they did a good job repairing it, and the display seems good now.<br /><br />Overall, this monitor has been amazing for work (I actually really missed it while it was being fixed, and even though I had only used it for a few days prior). And playing games on it is an entirely new experience.<br /><br />I wish it was a little brighter, because it can be hard to see during the day time if there's a lot of sun, but it's not unusable.",3
71,"La pantalla es un poco pequeña espero cumple con el trabajo, excelente pantalla por ese precio",5
72,Was easy to set up and start using right out of the box.  Plugged and played with no setup or issues. Fantastic resolution and the eye saver mode reduces fatigue.,5
73,"Great color gamut, USB and interface port options.  I received the A0 version that suffers back panel bleed through.  I would expect more from a premium monitor.",3
74,My son loves his monitor,5
75,"This monitor is awesome. It’s light weight and easy to take around from the office to home. It came with a really nice case and all the wires. Packaging was great and delivery was really fast. The display on the screen is clear and it’s so easy to use. I have no complaints, it’s a really great product!",5
76,It cannot stick to my laptop and keep slipping down . The monitor quality seems alright,2
77,"These have been amazing. With a little stand these are so useful for multitasking and have a quick monitor for use anywhere. The fact that it can be powered and have video through the usbc is what makes these awesome. Great quality screen, light, and respectable in the thinness department. There are many like this (they are all clones of some more expensive model I suspect) but I picked this one because ‘Azropa’ logo (they all put their ugly logo on the front) was the least offensive to me. (Not like offfensive in the context but just more pleasing for me to look at 12 hours a day then all the other weird company names that are out there for the same product).<br /><br />The stand it comes with is nice for travel when I toss it in my bag but I use another stand on my desks. I pack a lot in my work bag so it’s nice that this thing has its own protection and is relatively thin and light.<br /><br />Again love these",4
78,"I was please wit the pricing and quality of the Samsung 24"" monitor",5
79,Within 2 days of purchase I found this to be useless for artists so if you are getting it for Sculpting (blender) or drawing (any image software) you are wasting your time. even with a stylus the screen has major accuracy issues.<br />Pros: Extremely light and can be taken with you in a backpack anywhere you go. Picture quality is freakin awesome (Game on!). Comes with a magnetic screen cover to protect the screen from damage. Multi contact points for easy zoom and such.<br />Cons: Horrible accuracy. Multiple contact points (even accidentally). Touch sensitive but not pressure sensitive.,3
80,"It's epic, it's beautiful, it's panoramic, it's awe-inspiring, it's expensive. This monitor is nearly everything I have ever wanted in a monitor. (I say nearly, because I can still resolve individual pixels. The perfect monitor will have to be retinal.) I'm very pleased with this monitor. It has the real estate I need for development (never going back to multiple monitors again), the power for gaming, a nice sound system, convenient ports, and, so far, no significant flaws. I have not noticed any back lighting issues as others have mentioned. I haven't seen any tearing issues during gaming, but I'm not a serious gamer (I'm struggling my way though Arkham Knight, but the game is at ultra high settings pushing 75 htz, and the monitor does just fine). The only significant issue is that a lot of games do NOT support the monitor's aspect ratio, or require significant intervention to support it.",5
81,"Decided to go from a Samsung 1080p curved LCD display to this. Was VERY hesitant at first about this Montior BUT let me tell you right off the bat, this thing looks GOOD! Yes, it’s a TN panel so your colors aren’t going to looks 100% acccurate. However, with this being a QHD (2k) monitor, it looks SHARP! You’re also getting up to 165Hz and down to a 1ms response time with the overdrive (+ FreeSync)...  keep in mind that this screen is bright! Don’t worry about playing games during the day. The viewing angles are not that bad either. Again, with this being a TN panel you would think that they would, well I’m highly impressed. Look, you can’t beat this for the price (snagged mine for $259). I would 100% recommend this panel to my closest friends. Do yourself a favor and get this thing NOW! You and your wallet will thank you later!",5
82,It is a good product for the price. Would recommend for business travel. Lite weight and slim for easy transprort.,4
83,I am very happy with this purchase.  I wanted a monitor with the speakers built in and this has that.  It is large with a clear picture.<br />To contradict Brady with the complaint about the lack of bright white on the screen:<br />The lack of bright white is actually better for the eyes.  My old monitor had a brighter white than this one.  Blue light damages the eyes and will keep you up at night as well.  It is really a matter of adjustment.  You get used to what you use.  Blue light is bad for the eyes and there is concern that over time with so much tv/computer use and the led lighting that there will be more cases of macular degeneration.  Blue light also makes it hard to fall asleep.  It is a quick adjustment period.<br /><br />Update:  I added these two photos for someone asking a question if there was room for both wires.,5
84,The picture isn’t the best it’s about 7.8/10 I’ve been using this for 3 years now. I would say it’s VERY good for call of duty if you want to have a butter smooth experience. It’s top notch. This monitor (although the picture isn’t the best) is higher recommended than my acer predator which was about $800<br /><br />This is my go to monitor for shooters. 1000%,5
85,"Quality of the image is excellent! Size is perfect, and it is not bulky, unlike the older models.",5
86,Sweet sweet graphics. Everything looks gorgeous and buttery smooth at 144hz. I had originally bought two BenQ monitors that had problems with both before getting this monitor and I'm so glad I did.,5
87,The monitor was very easy to set up. I followed the simple instructions to configure it with my computer. The monitor is well built and well packaged as well.,5
88,Love this monitor. Great picture and arrived on time.,5
89,"As other reviewers have mentioned, it may be the luck of the draw with this monitor.<br /><br />When I initially set it up, I was surprised by the light bleed.<br /><br />Once I tweaked the settings and turned HDR on, the coloring evened out and now the screen is gorgeous!<br /><br />When using it in 144hz mode, make sure you turn off HDR and turn the brightness down.<br /><br />This monitor, with a little tweaking can compare or even beat other, more expensive models.<br /><br />I highly recommend!!!",5
90,I wish I got the larger screen.  But at the higher price point a TV screen would have been cheaper.,4
91,"It is amazing, 100%. You can adjust it for any kind of activity. If you want to design, boom, just change some settings and you’re done. Gaming, the same. Watching videos, doing normal stuff like word, excel, etc, boom, easy.<br /><br />You adjust the height to any eye level.",5
92,Great monitor for a reasonable price.  I love it.,5
93,"I've only had this for a day, but I'm very happy with it.  I use it with a MacBook Pro 15"" retina, so I have full Thunderbolt 2 connectivity.  Contrary to some others' experience, I had no trouble getting the computer to recognize it at full 3440x1440, 60 Hz.  Again contrary to others, I find no disturbing backlight bleed in the corners: no doubt due to the fact that I don't use it with black backgrounds, but when I did display something with black on the sides, I didn't notice anything in the corners.<br />It's wonderful to have so much screen real estate without the discontinuity between two monitors.  I use this for ""office"" tasks: the way I write, it's ideal to have four full windows open side by side, and with this display I can do that while leaving Mail open on the MBP's screen at the same time.<br />The curve is hardly noticeable, but probably contributes to the impression of a uniform big screen.<br />On the mildly negative side, this isn't of course 4K resolution, and the difference between what I see on the big screen and the resolution on the retina MBP screen next to it is noticeable.  If I were doing video editing or the like, this might be a problem, but for me this really isn't an issue: the screen is not so big that the pixelation is noticeable.  The experience is at least as good as on the 30"" cinema display in my office, and I'm quite happy with it.<br />It would be nice to have height adjustment.  Not sure why that isn't here, given that the flat screen equivalent has it.<br />The plastic cover over the cables on the back is no problem for me, since I don't plan on changing the cable connections often.  The one thing that might produce problems in the long run would be if I had to get to the on/off switch often.  So far, it looks like the display sleeps nicely when the computer does, so no apparent problem there.<br />Overall, this seems to be the display I've been looking for.  I do wish Apple had produced a 4K TB display, but even if they had, it probably wouldn't have met my needs (screen real estate) as well as this one does.<br /><br />Update, 10 December: I have downgraded my review from 5 to 2 stars now, not because of the monitor itself but because of Quality Control issues. When the monitor arrived and I set it up, I was delighted with all that screen real estate, and the initial experience was very positive. My MacBook Pro-Retina recognized the monitor and its ideal resolution (3440x1440, 60 Hz) immediately, and only a tiny bit of calibration seemed necessary. On the second day of use, though, I began to notice display artifacts on the right half of the screen: a pattern of closely spaced vertical lines that appeared in solid color areas such as window titles, solid areas in the background, etc. Just how much and where varies with which windows are in focus, and maybe other things. The effect is subtle, but once you notice it, obvious and wrong. I contacted Amazon and they arranged to ship a replacement right away. Great, I thought: wonderful customer service (and I have no reason to retract that). But when the replacement arrived, it was DOA: wouldn't do anything when powered on. So now I had two of them to return, and since the second one had come in a box that was too big and that therefore got destroyed in shipment, I only had one carton in which to return them. I sent the DOA one back, and I'm still hoping to find appropriate material to send back the other defective one. But now Amazon is out of stock, so they can't send me another one (they have arranged a refund), and the only source they list wants a significant premium over list price and doesn't offer Prime shipping. Phooey. I really like this monitor, in theory, but it does not look as if LG is doing a great job producing it.<br />Edit this post | Permalink",2
94,"The quality of the picture is terrible. Very dull, fuzzy.<br />So disappointed .<br />Definitely returning.",1
95,Great product fast shipping!,5
96,awesome!!!,5
97,I bought this as a Christmas gift for my boyfriend who tends to be on the road with his work a lot. He absolutely loved it and doesn't go anywhere without it.,5
98,"The monitor replaced a much smaller and dimmer led. I've like the size and brightness. I did catch it on sale, so the price was exceptional.<br /><br />Before buying the display I saw a lot of other people that that didn't like it for office type usage - Spreadsheets specifically. The curve has been a little disconcerting at first, but you do get used to it. I really don't mind the depth change.",5
99,crystal clear Matte display,4
100,"I bought this monitor in 2012 and it is still working great. Bright picture, great size, no dead pixels. I'm curious how the price has changed. I bought it for $300, another reviewer said they paid $250, and now the price is $600. I thought electronics generally trended toward becoming cheaper, so I was surprised when I saw the new price.  I'm not sure why someone would get this when a Dell Ultrasharp 27&#34; with 2560x1440 pixels (1.3 million more) is $50 cheaper at the moment.<br /><br />Thankfully I'm not in the market for a monitor because this one works just fine. If you are in the market for a monitor I can recommend it, but for some reason the price is too high now.",5
101,Very clear picture. Nice size. Great deal for the price. Good for anyone looking for a replacement and dont need anything fancy.,4
102,"After reading the reviews for this monitor, I realized I had a gamble on my hands. At the price, the specs can't be beat, but would I get one from a good production line, or would I get a broken one from the lower QC line? Somehow my luck held out and I got a perfect monitor first try. No dead pixels, no other quality issues to speak of. The colors are tremendously sharp, the 4k makes it difficult to see any pixellation and the blacks are pretty deep for a monitor with no intentional blacking out. The view angle is also incredibly wide, with true color at extreme angles. Additionally, while I will be hard mounting this to my desk, I must say that the adjustability of the stand is quite lovely. Until I get it mounted, it's great to be able to swing it around and slide it up and down to show what's on my screen to others.<br /><br />I really love this monitor. It's one of the best investments I've made and honestly justified my PC build. I hope Asus gets their QC up to par so more of you can experience the product I recieved.",5
103,"This monitor is a complete piece of garbage. 144hz doesnt work, colors look like garbage, and it went out after 2 months. I sent it in to be fixed and I got it back and its still broken. Asus has gone down the tubes everyone, dont buy this junk.",1
104,When I got the monitor I was happy to receive it but when I turned it on and plugged my game system up I just get black screen but sound comes out and I tried every solution and still don’t work so now I’m on the verge to sending it back,1
105,"The stand sucks. It comes at the minimum height, and there is no way to adjust it upwards. Needless to say, the word-free picture instructions were useless. I tried taking the screen off the stand so I could grab the stand real hard and yank on it, but still, it can't go up. I wound up putting a board under the base to get a more tolerable height.",1
106,"This monitor only works without problems using DP connections on the monitor & the graphics card. So far I'm pleased with it, greater than 60 Hz would have been nice but I knew this before I bought it.<br />HP's info on it's specs with the ad should have been more explicit that problems would be experienced if DP connections were not used. HP did not mislead just didn't give enough clarification.",3
107,"This monitor is amazing! Clear and high quality display. I went with the 17 inch version as a personal preference but have coworkers with the smaller version who also love it. We work from multiple locations and having two screens is essential to our productivity. It is also super light which is great for being on the go. Super easy setup where you can literally just plug it into a USB and use it. If you want to use it in portrait mode, you can by using the install disc on the laptop, otherwise it isn’t really needed. It is super fast adjustment by the computer when you plug it in and haven’t had any problems with it recognizing the second display. The only thing that someone may consider bothersome is every once in a while, I’ll open a window on my main screen and the font will be smaller. Once I move that window from one screen to another or minimize then restore it, it is fixed. This is a rare occurrence and may just be my computer as well. Overall, I would highly suggest this for people on the move a lot or even to use at home. Make sure it can fit in your bag, I have a laptop backpack for mine, but a smaller laptop briefcase-type bag may not fit this display.",5
108,I am very happy with the price I paid and with the monitor itself.<br />I ended up buying a second to have matching dual screen.<br />The monitor is sharp and the touch screen is great,5
109,Overall this is a good quality touchscreen monitor that is portable and works great plugging into any usb-c port on your laptop for the most part as I said the picture quality is excellent touch screen is very responsive although it does have one negative drawback it does not come with an included case which I consider a very negative point because storing this in your backpack without a case or some type of sleeve could very easily damage the screen via scratches or other damage much easier such as breakage other than that it's a very good screen I just wish they would have included a case or a sleeve to stored in.,4
110,Nice monitor and a good price.  Works great with my GTX 1070.  I bought two because of the price and height adjustment.,5
111,"Bought mine to replace a 5 year old 34"" LG and I can honestly say the LG still had a nicer picture. However I would have still kept the alienware if it didn't have an issue where it kept going black every few minutes. Very annoying when you're gaming. I thought paying extra for alienware means I get a higher quality product but apparently it's the opposite. Everyone online talks about how crappy of a brand they are, I guess I just missed it. Do yourself a favor and buy a cheaper brand like AOC or MSI",2
112,"Had this monitor for just under 3 year mark (warranty) when screen started shutting off and menu buttons stopped working.  Getting an RMA with Asus was difficult because they had different records on my purchase date. I then had to send in my Amazon receipt, but because the serial number was not on the invoice (nobody does this), I had to once again go back and forth with the Asus people to get them to be honest with the warranty.  Finally got them to approve it, however they don't or can't give me an equivalent.  Before I realized the replacement model they are sending (gave 3 days to read or eject via email), doesn't have the emitter.  I can't play 3D games now without spending another $150 on an emitter.  This is the second RMA this year that I had with Asus, and realized they will only provided refurbed junk as a replacement to cover warranty.  If they don't make this right, never again will I buy Asus!",1
113,Ordered two monitors. They had dead pixels out of the box. Ordered two replacements. Both replacements had dead pixels. Ordered a refund after that.,1
