id,label,split,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
105,0,train,5.0,79,5,10,21,5,0,3.5213924050632883,1
106,0,train,5.0,19,1,1,3,6,0,5.286666666666669,1
107,0,train,1.0,149,5,3,35,5,1,11.818143176733777,1
108,1,train,3.0,13,0,0,3,2,0,5.7323076923076925,0
109,0,train,5.0,12,1,0,1,2,0,2.3724999999999987,1
110,1,train,3.0,123,6,6,24,21,0,5.091707317073173,0
111,1,train,5.0,27,1,0,4,2,0,4.352222222222224,1
112,0,train,5.0,85,4,4,12,14,0,9.567176470588237,1
113,1,train,5.0,19,1,1,2,1,0,2.4478947368421053,1
114,0,train,5.0,51,1,2,13,6,0,7.479117647058825,1
115,1,train,5.0,13,1,0,2,2,0,11.156153846153849,1
116,0,train,4.0,18,1,0,5,0,0,5.835000000000001,0
117,1,train,5.0,20,1,1,2,2,0,4.765000000000001,1
118,1,train,2.0,81,2,2,12,9,1,7.823333333333334,0
119,1,train,3.0,55,1,2,13,6,0,5.8264545454545456,0
120,1,train,5.0,16,1,0,3,1,0,5.998750000000001,1
121,0,train,1.0,17,0,0,3,1,0,5.078823529411764,1
122,0,train,4.0,69,3,2,11,6,0,2.748136645962731,0
123,1,train,1.0,136,5,3,28,16,0,7.052867647058825,1
124,0,train,5.0,42,5,2,7,3,0,3.96142857142857,1
125,1,train,5.0,110,10,1,25,12,1,7.475848484848484,1
126,0,train,4.0,23,1,2,4,2,0,-2.1643478260869564,0
127,0,train,5.0,52,3,2,9,4,0,2.0665384615384603,1
128,1,train,5.0,55,2,0,11,6,0,6.768454545454546,1
129,0,train,5.0,99,4,6,16,12,0,6.09900432900433,1
130,1,train,5.0,52,2,1,9,9,0,4.181730769230768,1
131,0,train,2.0,116,6,3,19,7,0,9.375431034482759,0
132,0,train,5.0,110,3,6,21,9,0,4.24218181818182,1
133,0,train,5.0,15,0,0,3,2,0,2.4160000000000004,1
134,1,train,5.0,23,1,0,3,1,0,2.7504347826086963,1
135,1,train,4.0,106,3,2,19,13,0,7.203126684636118,0
136,0,train,4.0,63,1,2,14,2,0,4.155238095238094,0
137,1,train,2.0,113,6,9,25,11,0,8.327197640117994,0
138,0,train,1.0,20,0,1,4,2,0,4.2940000000000005,1
139,1,train,3.0,48,1,4,11,7,0,5.666875000000001,0
140,0,train,5.0,32,0,0,4,5,0,6.7346875,1
141,1,train,5.0,36,2,3,9,5,0,4.325833333333335,1
142,0,train,3.0,40,6,1,9,1,0,14.348500000000001,0
143,1,train,5.0,117,5,2,22,13,0,9.349963369963369,1
144,1,train,4.0,114,7,4,25,10,0,7.659962406015037,0
145,1,train,3.0,19,0,0,4,3,0,4.886842105263156,0
146,0,train,3.0,61,1,3,13,1,0,6.109617486338799,0
147,0,train,5.0,117,9,4,21,11,0,5.807399267399266,1
148,0,train,5.0,53,4,6,14,3,0,1.2934591194968554,1
149,0,train,5.0,22,3,3,8,0,0,0.4343939393939422,1
150,1,train,5.0,27,1,0,3,3,0,1.4827777777777769,1
151,0,train,4.0,69,5,1,9,6,0,4.173478260869565,0
152,0,train,5.0,35,1,2,4,3,1,7.90942857142857,1
153,0,train,2.0,305,15,14,75,21,1,5.560049180327869,0
154,0,train,5.0,45,5,3,11,1,0,5.328666666666667,1
155,0,train,5.0,53,2,2,10,4,1,5.36801886792453,1
156,1,train,5.0,41,0,3,7,3,0,5.981341463414633,1
157,1,train,1.0,14,0,1,2,1,0,6.965714285714288,1
158,0,train,5.0,34,2,0,5,5,0,4.015000000000001,1
159,1,train,5.0,86,3,3,16,9,0,8.200697674418606,1
160,0,train,1.0,69,3,0,17,5,0,9.925869565217393,1
161,0,train,3.0,30,1,4,6,2,0,1.6129999999999995,0
162,0,train,5.0,43,3,3,8,2,0,1.27186046511628,1
163,0,train,5.0,92,5,4,18,7,0,2.1872826086956536,1
164,1,train,5.0,129,8,4,23,13,0,7.062425249169436,1
165,0,train,5.0,10,1,1,2,0,0,-0.8870000000000005,1
166,0,train,2.0,136,4,5,26,20,0,6.5932761437908525,0
167,1,train,5.0,55,3,1,12,7,0,5.564727272727275,1
168,1,train,5.0,119,4,6,18,13,0,5.876575630252102,1
169,1,train,5.0,13,0,0,2,3,0,8.619999999999997,1
170,0,train,5.0,10,1,1,2,1,0,2.7360000000000007,1
171,1,train,5.0,12,0,0,3,0,0,6.157500000000002,1
172,1,train,5.0,68,7,4,12,6,0,6.772794117647063,1
173,0,train,5.0,28,1,0,5,3,0,2.592142857142857,1
174,1,train,3.0,85,6,4,16,9,0,8.699941176470588,0
175,0,train,3.0,77,5,1,17,4,0,8.56422077922078,0
176,1,train,5.0,47,2,2,8,5,0,5.389468085106383,1
177,1,train,1.0,110,7,7,21,15,1,6.637324675324674,1
178,0,train,1.0,29,2,1,9,0,0,1.5936781609195378,1
179,0,train,5.0,299,13,15,56,23,2,6.460250836120402,1
180,0,train,4.0,18,2,2,3,1,0,1.961666666666666,0
181,0,train,5.0,31,0,0,5,2,0,3.9440860215053775,1
182,0,train,4.0,24,1,0,3,2,0,6.708750000000002,0
183,1,train,5.0,10,0,0,1,2,0,9.004000000000001,1
184,1,train,1.0,33,0,1,6,5,1,6.620909090909091,1
185,0,train,5.0,17,1,1,3,0,0,5.078823529411764,1
186,1,train,5.0,20,1,0,2,2,0,4.2940000000000005,1
187,0,train,4.0,18,3,1,3,0,0,3.008333333333333,0
188,1,train,5.0,113,6,4,20,14,0,7.015066371681417,1
189,0,train,4.0,24,0,1,3,2,0,7.138749999999998,0
190,1,train,5.0,51,1,1,12,4,0,7.202941176470588,1
191,0,train,5.0,17,2,0,1,3,0,4.430588235294117,1
192,1,train,5.0,115,5,3,20,16,0,8.040720496894409,1
193,0,train,2.0,109,4,3,26,10,0,8.569266055045873,0
194,1,train,4.0,22,0,2,4,2,0,1.8395454545454548,0
195,0,train,5.0,50,4,6,11,4,0,5.732399999999998,1
196,1,train,4.0,88,1,4,17,9,0,6.7236742424242415,0
197,1,train,2.0,37,2,2,8,6,0,2.9401801801801817,0
198,1,train,3.0,48,1,2,10,8,0,6.685624999999998,0
199,0,train,4.0,21,2,1,6,1,0,1.0899999999999999,0
200,0,train,5.0,36,2,0,8,4,0,6.942499999999999,1
201,1,train,5.0,27,1,1,5,4,0,4.16,1
202,0,train,4.0,57,2,0,12,3,0,1.564060150375937,0
203,1,train,5.0,55,2,2,7,8,0,4.280181818181816,1
204,0,train,5.0,18,1,0,3,3,0,1.6483333333333334,1
205,1,train,5.0,16,1,0,2,2,0,7.003125000000001,1
206,1,train,4.0,29,0,1,4,4,0,5.816436781609195,0
207,1,train,5.0,25,1,0,3,3,0,7.428000000000001,1
208,0,train,4.0,101,3,6,22,6,0,2.9763613861386133,0
209,0,train,2.0,73,4,5,18,2,0,4.39662100456621,0
210,1,train,5.0,17,0,0,2,1,0,6.741176470588236,1
211,0,train,2.0,64,4,1,12,6,0,4.435989583333331,0
212,1,train,5.0,122,8,0,22,15,0,9.275355191256828,1
213,1,train,5.0,109,5,6,19,8,0,8.048929663608561,1
214,0,train,5.0,277,18,17,56,30,0,7.166828261990716,1
215,0,train,5.0,31,2,0,8,2,0,12.60612903225806,1
216,1,train,4.0,49,2,2,9,7,0,5.67278911564626,0
217,0,train,1.0,22,1,0,6,0,0,6.2690909090909095,1
218,0,train,5.0,43,2,1,11,2,0,4.318488372093022,1
219,0,train,1.0,17,0,0,3,3,0,6.092941176470589,1
220,0,train,4.0,138,9,2,30,6,0,5.417971014492753,0
221,1,train,4.0,32,2,1,5,1,0,4.674062500000002,0
222,1,train,5.0,106,4,8,24,5,0,9.742924528301884,1
223,1,train,5.0,27,1,1,6,0,0,1.0377777777777766,1
224,0,train,5.0,34,1,3,7,5,0,3.1838235294117645,1
225,0,train,2.0,50,3,4,8,3,0,21.562199999999997,0
226,0,train,5.0,64,6,2,13,6,1,4.085312500000001,1
227,1,train,5.0,123,6,4,24,13,0,9.84268292682927,1
228,0,train,1.0,23,2,0,4,2,1,2.7504347826086963,1
229,1,train,5.0,29,3,0,6,5,0,8.577471264367812,1
230,0,train,4.0,54,2,3,11,2,0,5.537777777777777,0
231,1,train,4.0,137,4,3,29,13,0,8.536517205422314,0
232,0,train,5.0,19,1,3,6,2,0,1.07245614035088,1
233,0,train,5.0,11,0,0,3,2,0,4.779545454545456,1
234,0,train,5.0,46,3,2,8,6,0,4.286304347826089,1
235,1,train,5.0,65,5,2,15,8,0,7.605538461538462,1
236,1,train,5.0,35,1,1,4,2,0,3.3998571428571402,1
237,0,train,5.0,284,9,4,43,31,2,11.214654289372596,1
238,0,train,3.0,26,0,1,4,5,0,4.272307692307692,0
239,1,train,4.0,44,3,2,9,5,0,2.816515151515148,0
240,1,train,4.0,38,0,0,7,6,0,5.134736842105266,0
241,0,train,4.0,51,6,4,12,4,1,3.8782352941176477,0
242,0,train,3.0,132,7,10,26,12,0,2.910454545454545,0
243,1,train,5.0,22,0,0,5,2,0,10.765,1
244,0,train,5.0,43,2,1,5,5,0,6.329224806201552,1
245,0,train,5.0,58,0,1,7,8,0,4.671724137931037,1
246,0,train,1.0,82,4,3,15,9,1,6.798414634146344,1
247,1,train,2.0,88,1,7,18,7,0,8.008219696969697,0
248,0,train,4.0,23,2,0,4,3,0,3.569565217391304,0
249,0,train,5.0,100,5,3,18,11,0,9.04033333333333,1
250,0,train,5.0,140,10,7,27,15,0,2.5031904761904755,1
251,0,train,5.0,56,2,9,11,1,0,5.587500000000002,1
252,1,train,5.0,122,6,10,26,17,0,6.935023419203745,1
253,0,train,4.0,48,1,2,9,6,0,6.685624999999998,0
254,1,train,3.0,14,1,0,3,1,0,3.064285714285713,0
255,1,train,5.0,25,2,1,3,1,0,8.1816,1
256,0,train,4.0,39,2,1,8,6,0,3.0096153846153832,0
257,0,train,5.0,23,2,1,3,1,0,3.569565217391304,1
258,0,train,5.0,66,1,3,11,6,0,4.69409090909091,1
259,1,train,5.0,29,1,1,4,6,0,5.796896551724139,1
260,1,train,5.0,25,1,1,4,3,0,1.0114666666666672,1
261,1,train,4.0,111,5,4,19,14,0,6.356949806949807,0
262,1,train,5.0,20,1,1,2,2,0,1.7035000000000018,1
263,1,train,5.0,16,0,1,5,3,0,5.964166666666667,1
264,1,train,5.0,25,1,1,4,1,0,5.5440000000000005,1
265,1,train,5.0,78,5,4,16,9,0,5.7819230769230785,1
266,0,train,4.0,114,10,3,30,8,0,6.70342105263158,0
267,0,train,2.0,164,6,14,36,21,1,6.434952574525745,0
268,0,train,5.0,29,0,1,9,3,0,4.029885057471262,1
269,0,train,5.0,14,1,0,3,3,0,5.082857142857144,1
270,0,train,5.0,18,0,0,4,2,0,1.125,1
271,0,train,5.0,31,3,0,6,2,0,3.1844086021505404,1
272,1,train,5.0,26,1,0,4,2,0,8.982307692307693,1
273,1,train,2.0,131,4,5,28,14,0,8.24126499454744,0
274,0,train,3.0,56,3,0,16,5,0,6.878928571428574,0
275,1,train,3.0,125,2,5,22,17,0,8.297931428571431,0
276,1,train,2.0,122,8,4,25,11,0,7.698852459016393,0
277,0,train,5.0,48,2,3,10,3,0,3.213750000000001,1
278,0,train,5.0,100,5,1,16,4,1,3.754200000000001,1
279,1,train,1.0,91,3,2,18,12,0,5.99596153846154,1
280,1,train,3.0,130,7,4,28,13,0,5.610452991452991,0
281,0,train,5.0,44,2,2,6,3,0,4.194545454545455,1
282,0,train,5.0,25,1,1,5,3,0,1.1998666666666686,1
283,0,train,5.0,28,0,0,5,4,0,11.578214285714289,1
284,0,train,5.0,25,0,0,4,2,0,3.8374666666666677,1
285,1,train,3.0,14,0,1,3,1,0,7.774285714285714,0
286,0,train,5.0,136,6,1,17,11,0,11.410024509803918,1
287,0,train,5.0,44,7,1,7,4,0,3.7799242424242436,1
288,1,train,5.0,56,4,2,14,3,0,4.6080357142857125,1
289,1,train,5.0,11,1,0,2,3,0,2.91,1
290,1,train,5.0,18,1,0,5,1,0,8.765,1
291,0,train,1.0,216,10,12,52,7,1,2.629052287581697,1
292,1,train,4.0,126,10,4,24,15,0,9.405238095238094,0
293,1,train,5.0,26,2,0,6,4,0,4.641794871794872,1
294,0,train,4.0,67,3,4,18,7,0,6.066194029850745,0
295,1,train,5.0,31,0,1,6,1,0,6.8308602150537645,1
296,1,train,4.0,116,5,1,17,17,0,7.441662561576351,0
297,1,train,4.0,90,2,4,15,8,0,10.491666666666667,0
298,0,train,5.0,12,0,2,3,0,0,0.6624999999999979,1
299,1,train,5.0,81,2,5,15,7,0,7.079999999999998,1
300,0,train,3.0,14,0,0,2,2,0,1.9192857142857136,0
301,1,train,5.0,22,2,0,3,3,0,10.55090909090909,1
302,1,train,5.0,54,2,1,11,4,0,6.078888888888891,1
303,0,train,3.0,85,8,4,18,5,1,3.9247226890756295,0
304,1,train,5.0,22,1,1,2,2,0,3.914090909090909,1
305,0,train,5.0,47,4,3,8,6,0,5.944822695035462,1
306,1,train,5.0,31,0,1,5,3,0,5.615376344086023,1
307,0,train,5.0,47,3,1,10,1,0,3.98648936170213,1
308,0,train,1.0,30,0,4,7,3,0,-0.8460000000000001,1
309,0,train,5.0,28,2,0,7,6,1,3.5742857142857147,1
310,0,train,3.0,51,4,4,14,1,0,8.220588235294116,0
311,1,train,3.0,58,3,4,13,5,0,8.233103448275862,0
312,1,train,5.0,24,1,0,4,3,0,9.017500000000002,1
313,0,train,2.0,39,3,3,8,3,0,8.005384615384617,0
314,1,train,2.0,116,3,7,26,6,0,6.33125478927203,0
315,0,train,5.0,78,7,3,15,9,1,6.193846153846156,1
316,0,train,5.0,105,7,2,20,7,0,2.570476190476189,1
317,1,train,5.0,40,2,1,8,5,0,5.607416666666669,1
318,0,train,5.0,38,1,0,5,3,0,1.912105263157894,1
319,0,train,5.0,22,1,1,5,1,0,4.984545454545454,1
320,1,train,3.0,56,0,4,13,8,0,10.528154761904766,0
321,0,train,5.0,32,2,3,6,3,0,7.323437500000001,1
322,0,train,5.0,13,0,0,1,2,0,6.094615384615384,1
323,0,train,5.0,31,3,1,8,4,0,2.880537634408604,1
324,0,train,5.0,178,13,1,23,12,0,8.780686641697876,1
325,1,train,5.0,121,8,2,21,7,0,11.573057851239668,1
326,1,train,5.0,23,2,1,3,2,0,3.364782608695652,1
327,0,train,5.0,151,11,2,25,10,1,7.4089569536423845,1
328,0,train,4.0,13,0,1,3,1,0,-1.8725641025641018,0
329,0,train,3.0,237,11,5,50,15,1,7.407663981588033,0
330,1,train,5.0,13,1,0,2,2,0,9.344615384615384,1
331,1,train,5.0,14,1,0,3,2,0,5.755714285714287,1
332,0,train,3.0,7,0,0,1,2,0,3.6014285714285705,0
333,1,train,4.0,114,3,2,20,19,0,7.9491729323308284,0
334,0,train,4.0,40,2,3,10,4,0,0.8212499999999991,0
335,0,train,4.0,63,5,3,12,8,0,3.111904761904764,0
336,0,train,5.0,10,1,2,2,2,0,-2.9160000000000004,1
337,1,train,4.0,125,10,6,29,11,0,6.884666666666668,0
338,0,train,3.0,189,3,1,41,13,1,8.782222222222224,0
339,1,train,3.0,118,4,4,24,15,1,8.281129943502826,0
340,1,train,1.0,23,0,1,7,2,0,7.460434782608697,1
341,0,train,5.0,204,15,8,45,17,1,6.917352941176471,1
342,1,train,4.0,10,0,0,2,1,0,3.8230000000000004,0
343,0,train,5.0,337,11,11,59,38,3,10.096864490603366,1
344,1,train,2.0,10,0,1,2,2,0,1.939,0
345,1,train,4.0,110,4,1,22,16,0,10.17339393939394,0
346,0,train,1.0,240,17,9,46,17,0,7.998749999999998,1
347,0,train,2.0,22,1,1,6,0,0,7.767727272727274,0
348,1,train,5.0,26,0,2,6,2,0,5.909871794871794,1
349,0,train,5.0,86,4,3,19,7,0,3.5528571428571425,1
350,1,train,5.0,18,0,1,2,2,0,6.671666666666667,1
351,0,train,5.0,63,3,0,12,5,0,3.928571428571427,1
352,1,train,5.0,44,2,0,7,5,0,4.301590909090908,1
353,0,train,5.0,31,1,0,7,2,0,4.475645161290323,1
354,0,train,5.0,188,9,1,26,15,0,14.847082066869298,1
355,1,train,5.0,112,9,5,22,11,0,12.310714285714283,1
356,0,train,5.0,57,4,2,11,5,0,9.636842105263156,1
357,1,train,5.0,29,0,1,5,5,0,4.283275862068965,1
358,1,train,5.0,112,10,2,24,6,0,8.467529761904764,1
359,1,train,5.0,55,3,3,12,7,0,4.285,1
360,1,train,5.0,70,4,2,12,7,0,7.908857142857144,1
361,1,train,5.0,59,2,1,11,6,0,7.020254237288135,1
362,1,train,5.0,118,5,5,20,8,0,9.311198547215497,1
363,1,train,1.0,18,2,0,6,1,0,3.2183333333333337,1
364,0,train,5.0,137,10,3,25,14,0,8.562206001622059,1
365,1,train,2.0,118,6,4,27,16,1,7.118860640301321,0
366,1,train,5.0,44,1,1,7,8,0,8.262272727272727,1
367,0,train,5.0,26,1,1,6,1,0,9.50423076923077,1
368,0,train,5.0,15,0,0,3,1,0,3.681000000000001,1
369,1,train,3.0,140,5,6,32,15,0,6.49642857142857,0
370,1,train,5.0,66,4,3,12,8,0,7.149999999999999,1
371,1,train,5.0,118,6,4,19,13,0,7.8343341404358355,1
372,1,train,4.0,33,2,1,7,5,0,4.48,0
373,1,train,5.0,22,2,1,2,1,0,5.693181818181817,1
374,0,train,4.0,263,14,7,39,27,1,2.2981780735107726,0
375,1,train,4.0,43,0,1,8,5,0,5.672015503875972,0
376,0,train,4.0,245,7,7,45,23,0,4.034836734693879,0
377,0,train,4.0,18,2,0,2,2,0,8.765,0
378,0,train,5.0,100,4,3,22,5,0,3.2811571428571433,1
379,1,train,5.0,35,0,1,7,2,0,3.7816190476190457,1
380,1,train,4.0,45,1,2,9,8,0,1.7006666666666668,0
381,1,train,5.0,33,1,2,6,2,0,6.1927272727272715,1
382,0,train,1.0,20,0,1,3,2,0,4.040333333333333,1
383,0,train,5.0,315,16,5,49,27,0,7.048190476190477,1
384,0,train,4.0,77,2,0,15,6,0,4.132510822510824,0
385,1,train,4.0,38,2,4,8,3,0,2.503859649122809,0
386,0,train,5.0,11,0,0,2,2,0,1.8727272727272712,1
387,0,train,5.0,22,2,0,6,3,0,3.5522727272727295,1
388,1,train,1.0,22,2,0,3,4,0,5.90727272727273,1
389,1,train,5.0,45,4,0,7,4,0,4.081666666666667,1
390,0,train,5.0,22,3,0,7,1,0,4.93030303030303,1
391,0,train,5.0,16,1,2,4,3,0,1.7043749999999989,1
392,1,train,2.0,38,1,1,9,3,0,5.2307017543859615,0
393,0,train,4.0,110,2,1,24,11,0,8.332212121212116,0
394,1,train,2.0,81,4,2,15,8,0,6.9637037037037,0
395,0,train,2.0,25,1,1,3,3,0,8.968,0
396,0,train,5.0,24,1,1,3,3,0,1.2512500000000024,1
397,1,train,5.0,30,1,3,5,4,0,2.253,1
398,1,train,5.0,9,0,0,2,0,0,7.143333333333334,1
399,0,train,4.0,12,1,0,3,2,0,2.232499999999998,0
400,1,train,1.0,123,11,6,28,8,0,7.995470383275261,1
401,1,train,5.0,9,1,1,1,2,0,4.526666666666664,1
402,0,train,4.0,88,3,3,18,4,0,6.049431818181819,0
403,0,train,5.0,57,1,3,12,6,0,3.6057894736842115,1
404,0,train,3.0,88,4,6,19,11,0,11.327348484848486,0
405,1,train,3.0,60,3,3,12,3,0,6.3145000000000024,0
406,0,train,5.0,15,1,0,4,0,0,2.7300000000000004,1
407,1,train,4.0,55,3,2,10,7,0,4.370636363636365,0
408,0,train,5.0,33,4,0,5,7,0,7.372727272727275,1
409,1,train,5.0,58,1,3,11,5,0,5.309655172413795,1
410,0,train,3.0,149,3,7,30,9,0,13.827315436241612,0
411,1,train,5.0,51,3,1,9,6,0,8.218823529411765,1
412,0,train,5.0,55,3,4,14,3,0,1.373363636363635,1
413,0,train,4.0,283,9,8,54,20,1,6.801489146895506,0
414,0,train,5.0,212,11,7,41,9,0,9.765419287211742,1
415,1,train,5.0,58,1,1,12,4,0,4.671724137931037,1
416,1,train,1.0,82,3,4,16,10,0,7.402479674796748,1
417,0,train,3.0,52,0,1,11,2,1,5.721538461538458,0
418,1,train,5.0,43,1,2,7,3,0,2.346860465116279,1
419,1,train,4.0,122,4,8,23,12,1,7.128056206088992,0
420,0,train,4.0,82,3,0,16,5,0,6.9310975609756085,0
421,0,train,5.0,16,1,1,2,1,0,9.236875000000001,1
422,1,train,5.0,56,4,1,12,4,0,7.836726190476192,1
423,1,train,1.0,20,1,1,4,2,0,7.355499999999999,1
424,0,train,5.0,30,2,0,4,4,1,4.753,1
425,0,train,4.0,14,1,2,1,1,0,-3.284523809523808,0
426,1,train,4.0,124,8,2,22,10,0,6.299516129032259,0
427,1,train,5.0,21,0,0,3,2,0,5.127142857142857,1
428,0,train,5.0,25,0,2,4,1,0,-0.03020000000000067,1
429,1,train,5.0,58,3,1,10,6,0,6.295862068965519,1
430,1,train,5.0,62,2,2,10,6,0,6.040967741935482,1
431,0,train,5.0,136,4,3,31,15,3,5.352867647058826,1
