id,asin,parent_asin,product,price,average_rating,rating_number,title,rating,helpful_vote,verified_purchase,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
46,B0949KL83T,B0C74VV5T5,"HP 27-inch QHD Gaming with Tilt/Height Adjustment with AMD FreeSync Premium Technology (X27q, 2021 model)",339.99,4.6,1369,Exceeded expectations,5,0.0,True,28,0,2,5,3,0,8.951785714285712,1
47,B08G8WMRRP,B0BWFRKGDQ,"Dell S3422DW - 34-inch WQHD 21:9 Curved Monitor, 3440 x 1440 at 100Hz, 1800R, Built-in Dual 5W Speakers, 4ms Grey-to-Grey Response Time (Extreme Mode), 16.7 Million Colors, Silver",429.99,4.4,2620,Audio broken and display choppy,1,2.0,True,214,8,7,46,9,0,6.763245866283249,1
48,B007HRRAJ8,B007HRRAJ8,"KIB M21VW Micro Monitor System, White",45.59,4.4,453,Looks just like the one I need,1,,True,46,6,1,13,1,0,2.5456521739130444,1
49,B01IRRI568,B01IRRI568,"Samsung Business LU28E85KRS/GO, 850 Series 28 inch 4K UHD 3840x2160 Desktop Monitor for Business, HDMI, DP, FreeSync, 1 ms response, USB Hub, 3-Year Warranty",,4.5,320,Don't buy it due to poor quality,1,0.0,True,13,1,1,2,1,0,1.3738461538461522,1
50,B004NBLURY,B004NBLURY,Dell E1911 19 CCFL LCD Monitor - 16:10 - 5 ms,74.47,3.8,7,Recommended!,5,1.0,True,25,2,2,6,1,0,4.025866666666669,1
51,B08FM2MXZC,B08HTMG8SP,"Sceptre Curved 27"" FHD 1080p Gaming Monitor R1500 98% sRGB HDMI VGA 75Hz Build-in Speakers, Blue Light Shift Machine Black (C278W-1920RN series)",160.8,4.6,13819,Luv it!!!,5,0.0,True,2,0,1,1,0,0,-8.655,1
52,B07FBNPTDD,B0827F7CCQ,"SAMSUNG UE57 Series 28-Inch 4K UHD (3840x2160) Computer Monitor, HDMI, Display Port, Eye Saver Mode, VESA Compatible, FreeSync (LU28E570DS/ZA)",,4.5,1502,Worked well for almost 4 months,2,1.0,True,63,3,3,14,2,0,5.878095238095238,0
53,B078P2XN9M,B0BBZDSLPJ,"Viotek GNV24CB 144hz 24-Inch 1200R Curved Gaming Monitor | 1920x1080p | 99% sRGB | FreeSync | 1x DP, 2X HDMI, Audio Out | VESA | 3 Years Zero Dead Pixels",149.99,4.4,1106,The boy loves this monitor,5,0.0,True,24,1,4,5,2,1,-0.7112499999999997,1
54,B07V1SQ966,B0BNX9QVXZ,"Lepow Portable Monitor - 2023 C2 15.6 inch FHD 1080P Portable Display with IPS Screen, Foldable Kickstand, Dual Speakers, Type-C HDMI Mini DP Port for Laptop PC Phone Xbox Switch PS5, Iron Gray",149.99,4.3,1811,Great 2nd screen for my laptop,5,0.0,True,17,2,0,2,0,0,5.632941176470588,1
55,B07GD7H18F,B0BZ81WVFQ,"AOC C24G1A 24"" Curved Frameless Gaming Monitor, FHD 1920x1080, 1500R, VA, 1ms MPRT, 165Hz (144Hz supported), FreeSync Premium, Height adjustable Black",159.92,4.7,25604,Great,5,0.0,True,16,1,1,3,1,0,-1.5337499999999977,1
56,B013XFJKGI,B0C6G2BD65,"ASUS Zen Screen 15.6” 1080P Portable Monitor (MB166C) - Full HD, IPS, Type-C External Monitor, USB-Powered, Flicker Free, Anti-Glare Surface, Ultra Slim Travel Monitor For Laptop & Macbook",133.29,4.3,4555,I love this external monitor,5,0.0,True,53,3,0,7,5,0,12.526226415094342,1
57,B00B2HH7G0,B0B9J2JWSX,"ASUS TUF Gaming 23.8” 1080P Monitor (VG249Q1R) - Full HD, IPS, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, FreeSync™ Premium, Shadow Boost, VESA Mountable, DisplayPort, HDMI",159.99,4.7,6137,Five Stars,5,0.0,True,10,1,0,1,1,0,8.533000000000001,1
58,B095V23PTM,B0B1Y2MYHZ,"Dell Curved Gaming, 34 Inch Curved Monitor with 144Hz Refresh Rate, WQHD (3440 x 1440) Display, Black - S3422DWG",384.99,4.6,4139,"Came the next day, very awesome display, but was missing power cable",4,0.0,True,53,3,2,11,6,0,12.615094339622644,0
59,B07WLG5GJM,B07WLG5GJM,"Acer EI431CR Pbmiiipx 43"" 1800R Curved DWFHD (3840 x 1200) VA Gaming Monitor with AMD Radeon FreeSync Technology, 120Hz, VESA Certified DisplayHDR400, DCI-P3 (Display Port & 3 x HDMI Ports), Black",,4.4,88,Super ultra wide is the way to go!!,5,0.0,True,37,2,0,7,5,0,5.217432432432435,1
60,B09HV4MQHZ,B0B7MPW458,"CIDETTY 2023 New 12"" Portable Monitor for Laptop, Full HD IPS 1080P Display Laptop Screen Extender, Dual Laptop Monitor Screen, USB A/Type-C/HDMI Monitor for 13""-16"" Laptops/PS5/Switch (Dual Monitor)",259.97,4.3,349,Essential for travelling,5,0.0,True,43,2,1,6,6,0,5.434186046511627,1
61,B01ET4EQCK,B01ET4EQCK,"Perfect Pixel NEWSYNC 27R Real 144Hz 27"" LED 1960x1080 1ms DP HDMI DVI VGA FPS PC Monitor",,5.0,1,Very good monitor,5,1.0,True,54,0,1,11,8,0,3.7694444444444457,1
62,B0002X8TVW,B0002X8TVW,Acer 19-inch LCD Flat Panel Monitor,,3.5,34,Color mapping screwed up after 1 1/2 year,1,1.0,False,223,10,11,48,14,0,3.4494226457399115,1
63,B08DQWG3JG,B0BWFRKGDQ,"Dell S3422DW - 34-inch WQHD 21:9 Curved Monitor, 3440 x 1440 at 100Hz, 1800R, Built-in Dual 5W Speakers, 4ms Grey-to-Grey Response Time (Extreme Mode), 16.7 Million Colors, Silver",429.99,4.4,2620,Broke after 4 months,1,4.0,True,71,2,2,17,6,0,8.357605633802812,1
64,B08T76SY2J,B0B3DL8TC9,cocopar Travel Monitor – Upgraded 15.6 Inch 1080P FHD HDR IPS Ultra Slim USB-C Portable Display with Kickstand Dual Type-C Mini HDMI Dual Speakers for Laptop PC Mac Surface Xbox PS4 Switch,199.99,4.8,1814,Estoy gratamente impresionado con la calidad de este producto,5,0.0,False,38,0,0,1,2,0,10.008684210526315,1
65,B08B4LDKJ6,B08B4LDKJ6,cocopar Portable Monitor 4K - 15.6 inch 3840 x 2160 UHD 72% NTSC HDR FreeSync USB-C Portable Display with Zero Frame HD Type-C Mini DP for Laptop PC Phone Mac Surface Xbox PS4 Switch (Black),,4.6,107,"Great picture quality, very lightweight for the value",5,0.0,True,50,2,0,5,7,0,4.496866666666669,1
66,B001QVLD8A,B001QVLD8A,Samsung 2233SW 21.5-Inch Full HD Widescreen LCD Monitor,,4.0,71,Connecting this monitor to a Mac is NOT a good idea,2,3.0,True,314,9,8,56,24,2,4.607142857142858,0
67,B07743412C,B0B2K24RQT,"Sceptre 20"" 1600 x 900 75Hz LED Monitor 2x HDMI VGA Built-in Speakers, sRGB 99% Machine Black (E209W-16003RT series)",69.98,4.5,27222,Buena imagen,5,0.0,True,5,0,0,0,0,0,3.6779999999999973,1
68,B00B332A9C,B00LM5N4OG,HP Pavilion 25xi 25-Inch Screen LED-Lit Monitor,,4.5,628,Five Stars,5,0.0,True,1,0,0,0,1,0,21.46,1
69,B072M34RQC,B072M34RQC,"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait & Landscape, Tilt, and HDMI & VGA Ports (1KL30AA) - Black",191.53,4.7,25762,Good monitor for it's price.,5,0.0,True,93,2,4,25,6,0,5.7477419354838695,1
70,B07743412C,B0B2K24RQT,"Sceptre 20"" 1600 x 900 75Hz LED Monitor 2x HDMI VGA Built-in Speakers, sRGB 99% Machine Black (E209W-16003RT series)",69.98,4.5,27222,Very bright and clear.,5,0.0,True,46,1,0,7,6,0,1.755289855072462,1
71,B00QSUMKYA,B00WMWYUN2,"Sceptre 24 Inch 75Hz 1080p LED Monitor with Build-in Speakers HDMI VGA Ports, New Black 2019 (E248W-1920)",89.98,4.5,2563,I bought a Sceptre TV years ago when it was ...,5,0.0,True,35,2,2,9,2,0,1.2247619047619054,1
72,B08FWN57DG,B0B3DL8TC9,cocopar Travel Monitor – Upgraded 15.6 Inch 1080P FHD HDR IPS Ultra Slim USB-C Portable Display with Kickstand Dual Type-C Mini HDMI Dual Speakers for Laptop PC Mac Surface Xbox PS4 Switch,199.99,4.8,1814,A Good Monitor for the Price,5,0.0,True,65,4,1,12,5,0,6.621923076923078,1
73,B00L3KNOF4,B00L3KNOF4,"Samsung SD850 32"" WQHD (2560x1440) 16:9 Aspect Ratio LED-LitMonitor (LS32D85KTSR/ZA) Titanium Silver/matte Black",,4.4,805,Great while it worked. Stopped working after 2 years.,1,7.0,True,40,2,3,8,2,0,8.469750000000001,1
74,B015WCV70W,B015WCV70W,"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black",89.99,4.6,13966,Five Stars,5,0.0,True,9,0,1,3,2,0,-0.8633333333333333,1
75,B07J4BSM8S,B07J4BSM8S,ASUSPRO C624BQH 24.1” WUXGA 1920 x 1200 IPS DP HDMI DVI VGA Ergonomic Eye Care Monitor,,5.0,5,Amazing clarity,5,0.0,True,60,5,2,13,10,1,6.570499999999999,1
76,B077JBDGRP,B077JBDGRP,"LG Electronics 4K UHD IPS 32"" Screen LCD Monitor (32MU99-W)",,3.3,14,Consistent blackouts and sounds outages,1,1.0,True,153,7,1,28,13,1,6.895098039215686,1
77,B00CMKOVPQ,B00CMKOVPQ,"AOC e2752She 27-Inch Class LED Backlit Monitor with 2 MS Response Time, VGA and 2 HDMI Ports, Earphone Audio port, 1920 x 1080 Resolution Display",,4.2,672,Beautiful,5,0.0,True,6,1,0,1,0,0,-0.3049999999999997,1
78,B00N2L5CXO,B07N6Y8ZD8,"Dell S-Series 27-Inch Screen LED-Lit Gaming Monitor (S2719DGF); QHD (2560 x 1440) up to 155 Hz; 16:9; 1ms Response time; HDMI 2.0; DP 1.2; USB; FreeSync; Height Adjust, Tilt, Swivel & Pivot",385.01,4.6,3791,Butter smooth high fps gaming,5,4.0,True,221,9,8,39,19,1,5.5690045248868785,1
79,B005SNNCEA,B005SNNCEA,Dell U2312HM 23-Inch Screen LED-Lit Monitor (Discontinued by Manufacturer),107.98,4.0,119,super colors and easy on the eyes,5,0.0,True,24,0,0,4,2,0,4.783750000000001,1
80,B00B0ARE12,B00B0ARE12,Dell UltraSharp U2913WM 29-Inch Ultra Widescreen LED-Lit Monitor,,3.8,214,MAC USERS BEWARE... NO DRIVERS,1,4.0,True,47,0,1,8,1,0,4.61531914893617,1
81,B07YLGH9Q5,B0827FJWP8,"Alienware 120Hz UltraWide Gaming 34 Inch Curved Monitor with WQHD (3440 x 1440) Anti-Glare Display, 2ms Response Time, Nvidia G-Sync, Lunar Light - AW3420DW",828.88,4.6,1460,A Solid BIG WIN but with the Right Specs,5,4.0,True,634,17,19,111,45,4,5.895108156827398,1
82,B08N5GNPS5,B0CHMPBPGL,"MSI QHD Rapid-IPS Gaming Non-Glare Super Narrow Bezel 1ms 2560 x 1440 165Hz Refresh Rate Adjustable Arm G-Sync Compatible 27” Gaming Monitor (Optix MAG274QRF), Black",,4.5,405,"Great monitor, skip the HDR",5,0.0,True,82,3,5,16,7,1,3.7263821138211384,1
83,B095V23PTM,B0B1Y2MYHZ,"Dell Curved Gaming, 34 Inch Curved Monitor with 144Hz Refresh Rate, WQHD (3440 x 1440) Display, Black - S3422DWG",384.99,4.6,4139,"Awesome Monitor, but yeah the backlight bleed.",4,0.0,True,54,3,2,9,7,0,10.473888888888887,0
84,B07VFPYRP3,B0BJXDVZHR,"Acer Nitro VG272 Xbmiipx 27"" Full HD (1920 x 1080) IPS AMD Radeon FreeSync and G-SYNC Compatible Gaming Monitor, 240Hz, Up to 0.1ms Response Time, (1 Display & 2 HDMI 2.0 Ports), Black",,4.7,2764,Love it,5,0.0,True,5,0,0,2,1,0,-0.08999999999999986,1
85,B00S8W8Z5E,B00WMWYUN2,"Sceptre 24 Inch 75Hz 1080p LED Monitor with Build-in Speakers HDMI VGA Ports, New Black 2019 (E248W-1920)",89.98,4.5,2563,Picture quality is great. The sound from the speakers leaves a lot ...,3,0.0,True,38,1,4,9,2,0,4.487017543859647,0
86,B07D377Q6D,B07D377Q6D,"AOC G2590FX 25"" Framless Gaming Monitor, FHD 1920x1080, 1ms, 144Hz, G-SYNC Compatible+AdaptiveSync, 96% sRGB, DisplayPort/HDMI/VGA, VESA, 25 inch, Black / Red",,4.6,2882,Excellent picture quality.,5,0.0,True,16,0,0,4,3,0,10.24125,1
87,B07YGZ7C1K,B0BMQ8FCRY,"LG 34WN80C-B UltraWide Monitor 34” 21:9 Curved WQHD (3440 x 1440) IPS Display, USB Type-C (60W PD) , sRGB 99% Color Gamut, 3-Side Virtually Borderless Design, Tilt/Height Adjustable Stand - Black",679.0,4.5,3946,Great monitor at discount,5,2.0,True,41,1,1,5,4,0,5.39211382113821,1
88,B0079XW5JU,B0079XW5JU,"21.5"" Gateway FHX2201QV bmd DVI 1080p Widescreen LED LCD Monitor w/Speakers & HDCP Support (Black)",,4.0,1,Missing Base,4,3.0,True,40,1,2,7,3,0,9.17625,0
89,B01717TLMM,B07X8YJ3DR,"Dell E2318HR 23"" LED-Backlit Flat Panel LCD Monitor",,4.4,699,geat,5,0.0,True,11,0,2,3,3,0,1.197272727272729,1
90,B00RN08I86,B07YLG3JCK,Acer G257HL bmidx 25-Inch Full HD (1920 x 1080) Widescreen Display,299.99,4.2,134,Excellent monitor!,5,0.0,True,34,1,0,6,3,0,2.799607843137256,1
91,B07RGPCQG1,B0BNX9QVXZ,"Lepow Portable Monitor - 2023 C2 15.6 inch FHD 1080P Portable Display with IPS Screen, Foldable Kickstand, Dual Speakers, Type-C HDMI Mini DP Port for Laptop PC Phone Xbox Switch PS5, Iron Gray",149.99,4.3,1811,This is a piece of junk,1,2.0,True,24,0,0,5,3,0,2.7837500000000013,1
92,B01CX27190,B01CX27190,SAMSUNG LS19F350HNNXZA 19-Inch Slim Design Monitor,,4.2,341,One Star,1,2.0,True,4,0,0,1,0,0,-0.5899999999999999,1
